tRF,LA2CN2_1,LA2CN2_2,LA2CN2_3,LA2CN2_4,LA2CO2_1,LA2CO2_2,LA2CO2_3,LA2CO2_4,LA5CN2_1,LA5CN2_2,LA5CN2_3,LA5CN2_4,LA5CO2_1,LA5CO2_2,LA5CO2_3,LA5CO2_4
tRF-16-5O6WNDE,0,0,0,0,1.59654389,0,0,0,0,0,0,0,0,0,0,0.813562285
tRF-16-5P7JE20,1.311041853,1.174999992,2.593347885,3.258057248,9.579263337,3.482489491,2.760138946,1.200774208,0,0,0.602410927,0.629039421,0,0,0,0
tRF-16-5PFQJDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5R93WBE,0,0,0,0,1.59654389,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5XR4NPD,14.42146039,8.224999946,12.96673942,10.86019083,19.15852667,13.92995797,12.42062526,28.81858098,1.21715116,2.194505416,0.602410927,3.145197103,2.270190801,2.215657879,2.912571072,7.322060563
tRF-16-5Y93W0E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-628YR90,0,0,0,1.086019083,0,0,1.380069473,0,0,0,0,0,0,0,0,0
tRF-16-62NK7SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-64R959E,1.311041853,0,0,1.086019083,0,0,1.380069473,0,0,0.548626354,0,0,0,0,0,0
tRF-16-64VIJ40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62712457
tRF-16-67M8LOD,0,0,0,0,0,0,0,0,0,0,0.602410927,0,0,0,0,0
tRF-16-68K87SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-69JMI90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-69JMW90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813562285
tRF-16-69M8LOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-69M8NPD,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,1.456285536,0
tRF-16-69MPNPE,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-6HFVQ8B,0,1.174999992,0,0,0,0,0,0,0,1.097252708,0,0,0,0,0,0
tRF-16-6JYBKRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-6L1HWUD,0,1.174999992,0,0,0,0,1.380069473,0,0.60857558,0.548626354,1.80723278,2.516157682,0.756730267,2.954210505,1.456285536,4.067811424
tRF-16-6L1HWUE,0,0,0,0,0,0,0,0,0,0.548626354,0,0.629039421,0,0,2.912571072,4.067811424
tRF-16-6M5V3FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-6NF9B40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
