tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-23-87R718YKDE,125.0470955,100.3483056,-0.317455291,0.301339208,0.701963589,False,False,,False
tRF-21-73V2Y8L9E,18.6976836,24.69695791,0.401473797,0.301339208,0.701963589,False,False,"NR1D2,SMAD2",False
tRF-18-1SS2P4DX,29.29684777,23.83944402,-0.297394855,0.313502169,0.721950709,False,False,,False
tRF-22-9M739P8WM,9.139779468,11.8798002,0.378279312,0.313502169,0.721950709,False,False,,False
tRF-19-M8ZLSSJ8,18.42905725,16.72331605,-0.140121324,0.321255623,0.723273833,False,True,CHAT,True
tRF-18-JMRPFQDH,11.43170112,12.84331539,0.167977567,0.321255623,0.723273833,False,False,,False
tRF-18-YKISQID5,109.2459006,119.7272091,0.132171911,0.321255623,0.723273833,False,False,"RORA,BMPR2",False
tRF-18-69M8LO04,24.85774492,25.99772178,0.064689781,0.321255623,0.723273833,False,False,,False
tRF-19-PS5P4PJ4,314.3899815,269.7163162,-0.221112446,0.332872127,0.733046268,False,False,,False
tRF-20-73VL4YMY,25.59028381,39.4125712,0.623059723,0.332872127,0.733046268,False,False,"NR1D2,NTRK2,SMAD2",False
tRF-22-EXEY0VWUJ,322.0963388,300.9070655,-0.09817428,0.332872127,0.733046268,False,False,"BDNF,NR1D2,BMPR2,LIFR",True
tRF-20-9N15WV7W,20.55446417,22.03551058,0.100378562,0.332872127,0.733046268,False,False,"NR1D2,NTRK2,ARNTL2",False
tRF-20-5BF900BY,452.1570228,471.3340075,0.059925906,0.344962851,0.751459616,False,False,"SMAD2,KLF7,BMPR1B,RORA,BMPR1A,BMPR2,CNTF",True
tRF-21-WB8US565D,179.5610776,171.538682,-0.065940718,0.344962851,0.751459616,False,False,NR1D2,False
tRF-21-FSXMSL73E,11.18151082,9.493009195,-0.23617775,0.353002658,0.760749044,False,False,,False
tRF-19-DWY2MJJ1,583.5686946,395.0431851,-0.562892119,0.353002658,0.760749044,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,RORB,LIFR,BMPR1B,ARNTL2",True
tRF-22-WD8S746D2,10.03520158,10.46566597,0.060594522,0.366448538,0.777256635,False,False,,False
