miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-338-5p,10830.693705227271,8971.655551374999,-0.2716795131961937,0.6323598891835597,0.9972001756853214,False,False,"RORA,NR1D1,ARNTL2,BMPR1B,RORB,LIFR,CLOCK,BMP5",True
hsa-miR-135a-5p,920.4571804818185,912.8291155375,-0.012005800731055,0.6323598891835597,0.9972001756853214,False,True,"RORB,PCYT1A,RORA,SMAD2,KLF4,IL6ST,PRIMA1",True
hsa-miR-1275,32.17196561059091,40.3312895863125,0.3260954533938589,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-2-941,657.2807470318181,576.5870594625001,-0.1889712681577453,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-1-941,657.2807470318181,576.5870594625001,-0.1889712681577453,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-4-941,657.2807470318181,576.5870594625001,-0.1889712681577453,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-138-2-5p,365.2819683318182,396.89052956875,0.1197305990817483,0.668642334675562,0.9972001756853214,False,False,"BMP1,IL6R,BMP4",False
hsa-miR-363-5p,14.62935977840909,15.4997155935,0.0833751090259324,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-195-5p,637.5259571954546,666.1950092375,0.0634604629499655,0.668642334675562,0.9972001756853214,False,True,"CHAT,BMPR1A,CLOCK,SMAD2,RORB",True
hsa-miR-5-941,657.2807470318181,576.5870594625001,-0.1889712681577453,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-22-5p,447.21877205909095,432.6599506,-0.0477471636401478,0.668642334675562,0.9972001756853214,False,False,"NR1D2,CLOCK",False
hsa-miR-505-5p,18.59936646363636,16.8035952331875,-0.1464835411618033,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-941,657.2807470318181,576.5870594625001,-0.1889712681577453,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-664a-5p,216.02217941363637,205.9810545375,-0.0686677951269914,0.668642334675562,0.9972001756853214,False,False,"KLF7,CLOCK,BMP8B",False
hsa-miR-369-3p,130.18473485681818,131.589180888125,0.0154805856802253,0.668642334675562,0.9972001756853214,False,False,"BMPR2,RORA,BMP2,RORB,LIFR,KLF7,BMPER,CLOCK",True
hsa-miR-2-378d,162.13095816636357,161.599546918125,-0.004736440027024,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-378d,160.64888208363638,160.55843670000002,-0.0008124666049713,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-29b-2-5p,81.31697377545456,85.669237866875,0.0752207279506702,0.668642334675562,0.9972001756853214,False,False,,False
hsa-miR-6505-5p,29.95151846636363,28.295051943125,-0.0820793599889837,0.668642334675562,0.9972001756853214,False,False,"NR1D1,KLF7,RORB,KLF4,RORA,BMP2K",True
hsa-miR-598-3p,498.3574004318182,543.2826992375001,0.124522353191331,0.6871573448117494,0.9972001756853214,False,False,,False
hsa-miR-1224-5p,173.4307429522727,163.771901920625,-0.0826718011356506,0.6871573448117494,0.9972001756853214,False,False,"STAT5B,BMP2K",False
hsa-miR-92b-5p,158.89851580272727,174.409454445625,0.134372599121785,0.6871573448117494,0.9972001756853214,False,False,,False
hsa-miR-760,227.41250858636369,204.56565510625,-0.1527476615761926,0.6871573448117494,0.9972001756853214,False,False,,False
hsa-miR-1343-3p,33.272044644090904,35.076897015,0.0762106033312353,0.6871573448117494,0.9972001756853214,False,False,CNTFR,False
hsa-miR-15b-5p,60.43565890818183,53.994176193125,-0.1625962287637197,0.6871573448117494,0.9972001756853214,False,True,"CHAT,BMPR1A,CLOCK,RORB",True
hsa-miR-543,6292.444486181819,6166.8380288125,-0.0290896289387738,0.6871573448117494,0.9972001756853214,False,False,,False
hsa-miR-508-3p,24.984540657272728,23.98741728125,-0.0587578628496894,0.6871573448117494,0.9972001756853214,False,False,KLF4,False
hsa-miR-374a-5p,903.9958010999998,896.1225703125,-0.012619996132166,0.6871573448117494,0.9972001756853214,False,False,"BMP2,RORA,SMAD2,LIFR,BMPR2,KLF7,RORB,NTRK2",True
hsa-miR-323a-3p,3298.0388947272727,3317.3318106875,0.0084149095587058,0.6871573448117494,0.9972001756853214,False,False,"RORA,SMAD2,CLOCK,BMPR1A",False
hsa-miR-873-3p,110.791386655,115.19107672125,0.0561832375811031,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-6516-3p,20.548138670272724,22.312492105625,0.1188439437631885,0.7230638735046423,0.9972001756853214,False,False,NR1D2,False
hsa-miR-767-5p,35.74934240272727,38.78595989375,0.1176178023645411,0.7230638735046423,0.9972001756853214,False,True,"SLC5A7,ACHE",True
hsa-miR-2355-3p,18.00656413668182,16.5170798671875,-0.1245642759855618,0.7230638735046423,0.9972001756853214,False,True,"COLQ,IL6ST",True
hsa-miR-628-3p,219.64259141818184,227.53549411875,0.0509337763966577,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-548ab,16.87263422963636,17.9774887140625,0.091506272925506,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-501-5p,10.482243216272728,11.2023511553125,0.0958540687642557,0.7230638735046423,0.9972001756853214,False,False,"BMPR1A,IL6R",False
hsa-miR-483-5p,16.09984611786364,12.750961311875,-0.336440881268039,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-330-3p,2711.4570250454544,2377.982338125,-0.1893303048269832,0.7230638735046423,0.9972001756853214,False,False,"GBX2,BMPR2,LHX6,RORA,BMPR1A",True
hsa-miR-210-3p,65.03233058772729,58.846186433125006,-0.1442082036352516,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-2113,49.87608905181818,46.27002403125,-0.1082704949440316,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-125b-2-5p,39139.46198772728,36988.916844375,-0.081530870485917,0.7230638735046423,0.9972001756853214,False,False,"RORA,IL6R,LIFR,RORB,STAT3",True
hsa-miR-125b-2-3p,2193.679443818182,2286.230823875,0.0596183449996807,0.7230638735046423,0.9972001756853214,False,False,"BMP2K,LIFR,LHX8,GBX2",False
hsa-miR-148b-3p,5154.091520318183,5255.266953562499,0.0280458960008367,0.7230638735046423,0.9972001756853214,False,True,"SLC5A7,KLF4,BMPR1B,BMPR2,IL6ST",True
hsa-miR-1296-5p,289.3020467590909,296.71956100625,0.0365235083943566,0.7230638735046423,0.9972001756853214,False,False,RORB,False
hsa-miR-497-5p,206.48870305909088,217.2257370125,0.0731321901397832,0.7230638735046423,0.9972001756853214,False,True,"CHAT,RORA,CLOCK,SMAD2",True
hsa-miR-766-3p,21.430696825,22.008014736812505,0.038350250408734,0.7230638735046423,0.9972001756853214,False,False,"RORC,BDNF",False
hsa-miR-424-3p,76.17707263227271,82.207937696875,0.109920853557889,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-449c-5p,9.684689183454545,11.320522219625,0.2251628583227161,0.7230638735046423,0.9972001756853214,False,False,,False
hsa-miR-548ay-5p,26.757892606363637,25.5449174455,-0.0669282235868093,0.7230638735046423,0.9972001756853214,False,False,"RORB,RORA,BMP2K,CLOCK,KLF7,STAT1,NTRK2,STAT3,BMPR2",True
